Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,35,38.43,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,57,27.19,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,38,66.35,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,47,57.44,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,36,34.6,R,A
Nat Hawaiian/Oth Pac Islander,F,Law Department,40,35.74,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,44,24.92,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,50,19.66,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,37,31.7,R,A
Nat Hawaiian/Oth Pac Islander,M,Information Technology,48,53.45,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,39,55.34,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,64,60.58,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,35,30.09,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle City Light,43,45.96,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle City Light,47,42.44,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,26,36.33,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,53,40.79,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Library,56,28.29,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,41,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,50,26.99,R,A
Nat Hawaiian/Oth Pac Islander,M,Construction & Inspections,45,45.68,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,56,60.58,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,64,41.63,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle City Light,57,55.44,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,26,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,46,34.05,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,33,32.49,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,57,43.34,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,23,30.09,T,A
Nat Hawaiian/Oth Pac Islander,F,Parks & Recreation,48,25.58,T,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,41,67.49,R,A
Nat Hawaiian/Oth Pac Islander,F,Education & Early Learning,57,40.86,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Center,60,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Commnty Sfty and Comm Ctr Dept,61,42.24,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,29,32.22,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,36,50.03,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,40,18.34,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,48,38.43,R,A
Nat Hawaiian/Oth Pac Islander,F,Parks & Recreation,21,19.51,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle City Light,47,54.6,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,56,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,30,32.22,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,22,30.09,T,A
Nat Hawaiian/Oth Pac Islander,F,Seattle City Light,44,35.79,R,A
Nat Hawaiian/Oth Pac Islander,F,Police Department,37,31.35,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle City Light,59,56.46,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,57,43.63,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,29,35.05,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,46,39.59,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,34,37.29,R,A
Nat Hawaiian/Oth Pac Islander,M,Construction & Inspections,58,50.43,R,A
Nat Hawaiian/Oth Pac Islander,F,Finance & Admin Services,33,24.92,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,51,47,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,46,34.08,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,53,29.03,R,A
Nat Hawaiian/Oth Pac Islander,M,Municipal Court,44,36.19,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,28,42.96,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,53,55.44,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,48,38.83,R,A
Nat Hawaiian/Oth Pac Islander,F,Human Services Department,48,61.997,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,42,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Parks & Recreation,30,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Human Services Department,30,28,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,38,27.19,R,A
Nat Hawaiian/Oth Pac Islander,F,Human Services Department,54,84.546,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Library,28,30.68,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,20,30.09,T,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,43,29.11,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,50,37.29,R,A
Nat Hawaiian/Oth Pac Islander,M,Fire Department,39,47.74,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,54,24.92,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,42,30.09,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,47,40.79,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,58,61.63,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,52,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,60,34.08,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,56,62.473,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Center,41,25.58,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Center,37,25.58,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,56,31.35,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,37,42.11,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,35,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Fire Department,29,43.98,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,21,19.51,T,A
Nat Hawaiian/Oth Pac Islander,M,Law Department,40,66.2083,R,A
Nat Hawaiian/Oth Pac Islander,M,Police Department,61,60.58,R,A
Nat Hawaiian/Oth Pac Islander,M,Finance & Admin Services,46,43.49,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle City Light,33,23.14,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,59,51.39,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,55,38.43,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,37,27.6,T,A
Nat Hawaiian/Oth Pac Islander,F,Law Department,57,29.03,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,34,31.35,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,41,43.27,R,A
Nat Hawaiian/Oth Pac Islander,F,Finance & Admin Services,27,23.62,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,38,51.65,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,48,40.65,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,62,63.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,55,38.95,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,31,38.81,R,A
Nat Hawaiian/Oth Pac Islander,M,Fire Department,56,53.78,R,A
Nat Hawaiian/Oth Pac Islander,F,Parks & Recreation,49,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,34,31.35,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,34,39.59,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Library,37,45.41,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,42,57.87,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,32,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,43,49.61,R,A
Nat Hawaiian/Oth Pac Islander,M,Fire Department,48,47.74,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,20,30.09,T,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,23,27.19,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,40,18.56,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,60,39.67,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,47,38.31,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,43,61,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,47,57.87,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,62,31.35,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,25,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Public Utilities,37,30.09,T,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,47,35.35,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,55,34.47,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,42,37.29,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Library,32,28.5,R,A
Nat Hawaiian/Oth Pac Islander,M,Fire Department,37,36.9,R,A
Nat Hawaiian/Oth Pac Islander,F,Parks & Recreation,41,29.03,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,53,30.09,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,40,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,58,30.09,R,A
Nat Hawaiian/Oth Pac Islander,M,Information Technology,33,44.14,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,34,30.09,T,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,60,25.58,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,46,38.43,R,A
Nat Hawaiian/Oth Pac Islander,M,Finance & Admin Services,23,32.85,T,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Library,19,18.36,R,A
Nat Hawaiian/Oth Pac Islander,M,Finance & Admin Services,45,61.537,T,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,62,29.03,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,20,30.09,T,A
Nat Hawaiian/Oth Pac Islander,F,Finance & Admin Services,57,24.92,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,37,43.27,R,A
Nat Hawaiian/Oth Pac Islander,F,Human Services Department,45,39.28,R,A
Nat Hawaiian/Oth Pac Islander,F,Police Department,38,41.66,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Center,48,27.19,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle Dept of Transportation,48,31.35,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle City Light,31,49.49,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,40,25.58,T,A
Nat Hawaiian/Oth Pac Islander,M,Fire Department,37,53.26,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,38,34.94,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Public Utilities,48,38.76,R,A
Nat Hawaiian/Oth Pac Islander,M,Parks & Recreation,51,35.74,R,A
Nat Hawaiian/Oth Pac Islander,F,Seattle City Light,41,142.6195,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,36,36.33,R,A
Nat Hawaiian/Oth Pac Islander,M,Seattle Dept of Transportation,57,38.43,R,A
American Indian/Alaska Native,F,Seattle City Light,75,31.35,R,A
American Indian/Alaska Native,M,Fire Department,40,46.9,R,A
American Indian/Alaska Native,M,Seattle Center,48,35.26,R,A
American Indian/Alaska Native,M,Police Department,59,64.31,T,A
American Indian/Alaska Native,M,Police Department,57,61.63,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,51,72.75,R,A
American Indian/Alaska Native,M,Parks & Recreation,51,25.46,T,A
American Indian/Alaska Native,M,Fire Department,34,46.9,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,53,36.13,R,A
American Indian/Alaska Native,F,Neighborhoods,32,44.95,R,A
American Indian/Alaska Native,F,Seattle Public Library,31,49.69,R,A
American Indian/Alaska Native,M,Fire Department,35,46.9,R,A
American Indian/Alaska Native,M,Construction & Inspections,61,41.66,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,62,37.29,R,A
American Indian/Alaska Native,F,Parks & Recreation,55,19.51,T,A
American Indian/Alaska Native,F,Municipal Court,65,33.65,R,A
American Indian/Alaska Native,M,Parks & Recreation,34,56.65,R,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,43,34.94,R,A
American Indian/Alaska Native,M,Seattle City Light,49,51.36,R,A
American Indian/Alaska Native,M,Seattle City Light,63,49.34,R,A
American Indian/Alaska Native,M,Construction & Inspections,67,66.617,R,A
American Indian/Alaska Native,M,Fire Department,25,34.81,R,A
American Indian/Alaska Native,M,Seattle City Light,42,30.97,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,52,55.44,R,A
American Indian/Alaska Native,F,Parks & Recreation,39,46.68,R,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,34,34.05,R,A
American Indian/Alaska Native,M,Parks & Recreation,64,35.46,R,A
American Indian/Alaska Native,M,Seattle City Light,54,75.0712,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,38,35.9,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,35,52.029,R,A
American Indian/Alaska Native,F,Information Technology,53,66.404,R,A
American Indian/Alaska Native,M,Seattle Dept of Transportation,61,67.777,R,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,50,30.72,T,A
American Indian/Alaska Native,M,Parks & Recreation,20,20.75,T,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,61,58.36,R,A
American Indian/Alaska Native,M,Parks & Recreation,63,30.09,R,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,65,35.46,R,L
American Indian/Alaska Native,M,Information Technology,44,69.665,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,25,39.59,R,A
American Indian/Alaska Native,M,Parks & Recreation,46,33.33,R,A
American Indian/Alaska Native,M,Police Department,39,57.7,R,P
American Indian/Alaska Native,M,Seattle Center,61,48.25,R,A
American Indian/Alaska Native,F,Seattle Public Library,51,56.87,R,A
American Indian/Alaska Native,M,Parks & Recreation,61,71.671,R,A
American Indian/Alaska Native,F,Fire Department,63,57.55,R,A
American Indian/Alaska Native,M,Fire Department,49,54.21,R,A
American Indian/Alaska Native,F,Parks & Recreation,59,42.11,R,A
American Indian/Alaska Native,M,Police Department,38,55.34,R,A
American Indian/Alaska Native,M,Seattle Center,54,29.03,R,A
American Indian/Alaska Native,M,Seattle Center,61,29.03,R,A
American Indian/Alaska Native,F,Seattle Center,81,26.76,R,A
American Indian/Alaska Native,M,Seattle Dept of Transportation,31,37.31,R,A
American Indian/Alaska Native,F,Seattle City Light,51,31.35,R,A
American Indian/Alaska Native,F,Seattle Dept of Human Resource,54,43.34,R,A
American Indian/Alaska Native,F,Education & Early Learning,39,44.14,R,A
American Indian/Alaska Native,M,Seattle Public Library,53,38.42,R,A
American Indian/Alaska Native,F,Construction & Inspections,58,33.78,R,A
American Indian/Alaska Native,M,Seattle City Light,49,61.86,R,A
American Indian/Alaska Native,M,Police Department,52,64.51,R,A
American Indian/Alaska Native,M,Seattle City Light,51,61.86,R,A
American Indian/Alaska Native,M,Parks & Recreation,41,17.27,T,A
American Indian/Alaska Native,M,Seattle Dept of Transportation,61,35.46,R,A
American Indian/Alaska Native,M,Seattle Dept of Transportation,63,37.11,R,A
American Indian/Alaska Native,M,Fire Department,56,51.7,R,A
American Indian/Alaska Native,M,Construction & Inspections,67,54.24,R,A
American Indian/Alaska Native,M,Fire Department,52,56.8,R,A
American Indian/Alaska Native,M,Parks & Recreation,38,26.24,R,A
American Indian/Alaska Native,F,Commnty Sfty and Comm Ctr Dept,47,48,T,A
American Indian/Alaska Native,M,Econ & Revenue Forecasts Dept,23,49.33,R,A
American Indian/Alaska Native,M,Seattle City Light,31,30.09,R,A
American Indian/Alaska Native,F,Parks & Recreation,43,18.56,T,A
American Indian/Alaska Native,F,Parks & Recreation,26,18.56,T,A
American Indian/Alaska Native,M,Parks & Recreation,66,30.09,R,A
American Indian/Alaska Native,M,Seattle City Light,61,60.89,R,A
American Indian/Alaska Native,M,Seattle City Light,36,58.78,R,A
American Indian/Alaska Native,M,Parks & Recreation,32,27.19,R,A
American Indian/Alaska Native,M,Parks & Recreation,22,19.51,T,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,63,18.61,R,A
American Indian/Alaska Native,M,Seattle Dept of Transportation,30,48.31,R,A
American Indian/Alaska Native,M,Fire Department,40,48.15,R,A
American Indian/Alaska Native,F,Seattle Public Utilities,50,49.41,R,A
American Indian/Alaska Native,M,Parks & Recreation,39,18.56,T,A
American Indian/Alaska Native,M,Seattle Public Utilities,47,40.79,R,A
American Indian/Alaska Native,F,Finance & Admin Services,66,31.35,R,A
American Indian/Alaska Native,M,Seattle Center,66,36.05,T,A
American Indian/Alaska Native,F,Seattle City Light,56,37.29,R,A
American Indian/Alaska Native,M,Seattle City Light,39,45.17,R,A
American Indian/Alaska Native,M,Police Department,68,92.03,R,A
American Indian/Alaska Native,M,Police Department,43,34.09,R,A
American Indian/Alaska Native,M,Parks & Recreation,58,38.95,R,A
American Indian/Alaska Native,M,Seattle Dept of Transportation,53,38.83,R,A
American Indian/Alaska Native,M,Seattle City Light,48,55.44,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,46,30.09,R,A
American Indian/Alaska Native,F,Human Services Department,60,28,R,A
American Indian/Alaska Native,M,Parks & Recreation,58,30.09,R,A
American Indian/Alaska Native,M,Fire Department,52,73.7,R,A
American Indian/Alaska Native,F,Construction & Inspections,51,31.35,R,A
American Indian/Alaska Native,M,Seattle City Light,59,58.78,R,A
American Indian/Alaska Native,F,Finance & Admin Services,41,62.688,R,A
American Indian/Alaska Native,F,Planning & Comm Development,25,43.34,R,A
American Indian/Alaska Native,M,Fire Department,58,52.53,R,A
American Indian/Alaska Native,M,Seattle City Light,42,69.6,R,A
American Indian/Alaska Native,M,Police Department,43,57.44,R,A
American Indian/Alaska Native,F,Neighborhoods,61,38.4,R,A
American Indian/Alaska Native,F,Parks & Recreation,34,21.44,R,A
American Indian/Alaska Native,F,Seattle Public Library,45,48.96,R,A
American Indian/Alaska Native,M,Fire Department,23,38.98,R,A
American Indian/Alaska Native,M,Parks & Recreation,42,43.34,R,A
American Indian/Alaska Native,F,Seattle City Light,52,55.44,R,A
American Indian/Alaska Native,F,Seattle Public Utilities,28,26.05,T,A
American Indian/Alaska Native,N,Seattle Public Library,26,23.46,R,A
American Indian/Alaska Native,F,Finance & Admin Services,62,33.78,R,A
American Indian/Alaska Native,F,Seattle Public Library,53,30.68,R,A
American Indian/Alaska Native,M,Parks & Recreation,64,30.09,R,A
American Indian/Alaska Native,M,Information Technology,29,49.44,R,A
American Indian/Alaska Native,M,Finance & Admin Services,61,38.32,R,A
American Indian/Alaska Native,F,Education & Early Learning,55,47.57,R,A
American Indian/Alaska Native,M,Fire Department,55,58.45,R,A
American Indian/Alaska Native,M,Seattle City Light,58,47.62,R,A
American Indian/Alaska Native,F,Seattle Public Utilities,63,40.79,R,A
American Indian/Alaska Native,F,Seattle Dept of Transportation,64,30.5,R,A
American Indian/Alaska Native,M,Parks & Recreation,30,26.24,R,A
American Indian/Alaska Native,F,Parks & Recreation,64,18.56,T,A
American Indian/Alaska Native,F,Seattle Public Utilities,47,61.02,R,A
American Indian/Alaska Native,F,Human Services Department,29,39.28,R,A
American Indian/Alaska Native,M,Fire Department,36,34.81,R,A
American Indian/Alaska Native,F,Seattle City Light,44,33.36,R,A
American Indian/Alaska Native,M,Seattle Public Library,26,24.67,R,A
American Indian/Alaska Native,M,Police Department,57,70.92,R,A
American Indian/Alaska Native,F,Intergovernment Relations,39,76.6284,R,A
American Indian/Alaska Native,F,Law Department,56,53.2,R,A
American Indian/Alaska Native,M,Fire Department,38,43.15,R,A
American Indian/Alaska Native,F,Parks & Recreation,46,30.09,R,A
American Indian/Alaska Native,F,Police Department,63,41.06,R,A
American Indian/Alaska Native,F,Law Department,32,29.03,R,A
American Indian/Alaska Native,M,Police Department,42,57.44,R,A
American Indian/Alaska Native,M,Police Department,50,61.63,R,A
American Indian/Alaska Native,M,Seattle City Light,43,49.45,R,A
American Indian/Alaska Native,M,Police Department,44,59.27,R,A
American Indian/Alaska Native,M,Police Department,53,69.71,R,A
American Indian/Alaska Native,M,Construction & Inspections,63,55.39,R,A
American Indian/Alaska Native,F,Construction & Inspections,26,46.51,R,A
American Indian/Alaska Native,M,Seattle City Light,38,46.87,R,A
American Indian/Alaska Native,M,Parks & Recreation,20,17.27,T,A
American Indian/Alaska Native,M,Fire Department,30,43.15,R,A
American Indian/Alaska Native,M,Seattle Public Library,54,61.89,R,A
American Indian/Alaska Native,M,Fire Department,54,50.86,R,A
American Indian/Alaska Native,F,Seattle Public Library,58,31.44,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,42,38.07,R,A
American Indian/Alaska Native,M,Fire Department,35,43.15,R,A
American Indian/Alaska Native,M,Information Technology,44,49.49,R,A
American Indian/Alaska Native,M,Seattle City Light,41,38.64,R,A
American Indian/Alaska Native,M,Parks & Recreation,58,30.09,T,A
American Indian/Alaska Native,F,Police Department,71,31.35,R,A
American Indian/Alaska Native,F,Construction & Inspections,58,56.25,R,A
American Indian/Alaska Native,M,Construction & Inspections,59,55.32,R,A
American Indian/Alaska Native,M,Parks & Recreation,38,41.83,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,45,49.41,R,A
American Indian/Alaska Native,M,Finance & Admin Services,62,19.51,R,A
American Indian/Alaska Native,M,Information Technology,59,77.837,R,A
American Indian/Alaska Native,F,Seattle Center,59,36.05,T,A
American Indian/Alaska Native,F,Parks & Recreation,55,31.35,R,A
American Indian/Alaska Native,M,Seattle Public Utilities,56,38.81,R,A
American Indian/Alaska Native,M,Police Department,55,109.3,R,A
American Indian/Alaska Native,M,Seattle City Light,43,61.86,R,A
Two or More Races,F,Police Department,31,54.29,R,L
Two or More Races,F,Office for Civil Rights,42,55.44,R,A
Two or More Races,M,Fire Department,43,51.07,R,A
Two or More Races,M,Police Department,34,55.6,R,A
Two or More Races,M,Seattle Dept of Human Resource,64,73.289,R,A
Two or More Races,M,Human Services Department,22,17.27,T,A
Two or More Races,M,Seattle Dept of Transportation,32,32.84,R,A
Two or More Races,M,Seattle Dept of Transportation,61,39.27,R,A
Two or More Races,M,Fire Department,48,46.48,R,A
Two or More Races,M,Seattle City Light,31,45.17,R,A
Two or More Races,M,Seattle Public Library,47,69.787,R,A
Two or More Races,F,Office of Labor Standards,32,51.34,R,A
Two or More Races,F,Arts & Culture,58,41.17,R,A
Two or More Races,M,Seattle Public Utilities,51,21.51,R,A
Two or More Races,F,Seattle City Light,45,29.45,R,A
Two or More Races,F,Human Services Department,16,17.27,T,A
Two or More Races,F,Human Services Department,17,17.27,T,A
Two or More Races,M,Law Department,39,52.191,R,A
Two or More Races,M,Police Department,33,40.06,R,A
Two or More Races,F,Law Department,30,41.66,R,A
Two or More Races,F,Seattle Public Library,41,35.26,R,L
Two or More Races,M,Police Department,29,45.96,R,A
Two or More Races,F,Parks & Recreation,46,20.75,T,A
Two or More Races,F,Mayor's Office,47,101.533,R,A
Two or More Races,M,Parks & Recreation,18,19.51,T,A
Two or More Races,F,Police Department,39,28,R,A
Two or More Races,M,Fire Department,44,53.57,R,A
Two or More Races,M,Police Department,33,36.64,R,A
Two or More Races,M,Information Technology,45,64.89,R,A
Two or More Races,M,Parks & Recreation,20,25.58,T,A
Two or More Races,M,Fire Department,26,43.15,R,A
Two or More Races,M,Fire Department,33,43.98,R,A
Two or More Races,M,Seattle Dept of Transportation,26,45.81,R,A
Two or More Races,F,Seattle Dept of Human Resource,47,54.34,R,A
Two or More Races,F,Parks & Recreation,43,40.86,R,A
Two or More Races,F,Seattle Public Utilities,52,56.027,R,A
Two or More Races,M,Fire Department,44,53.26,R,A
Two or More Races,M,Police Department,42,54.29,R,A
Two or More Races,M,Police Department,52,60.06,R,A
Two or More Races,M,Police Department,55,62.94,R,A
Two or More Races,M,Seattle Public Utilities,39,49.16,R,A
Two or More Races,F,Human Services Department,63,58.861,R,A
Two or More Races,F,Seattle Dept of Transportation,26,50.38,R,A
Two or More Races,M,Seattle Public Utilities,65,57.87,R,A
Two or More Races,F,Law Department,33,60.628,R,A
Two or More Races,F,Parks & Recreation,16,19.51,T,A
Two or More Races,F,Seattle Public Utilities,27,34.94,R,A
Two or More Races,M,Seattle City Light,46,48.6,R,A
Two or More Races,M,Seattle City Light,40,69.6,R,A
Two or More Races,F,Seattle Dept of Transportation,32,55.73,R,A
Two or More Races,F,Seattle City Light,34,23.14,T,A
Two or More Races,M,Seattle City Light,73,54.6,R,A
Two or More Races,M,Seattle City Light,26,37.86,T,A
Two or More Races,M,Construction & Inspections,51,48.48,R,A
Two or More Races,F,Human Services Department,42,39.28,R,A
Two or More Races,M,Police Department,28,53.5,R,A
Two or More Races,M,Fire Department,31,43.15,R,A
Two or More Races,F,Police Department,36,48.74,R,A
Two or More Races,M,Seattle Public Library,46,46.07,R,A
Two or More Races,M,Seattle City Light,62,54.6,R,P
Two or More Races,F,Human Services Department,28,37.1,R,L
Two or More Races,F,Information Technology,61,53.634,R,A
Two or More Races,F,Parks & Recreation,24,18.56,T,A
Two or More Races,F,Parks & Recreation,55,30.09,R,A
Two or More Races,F,Information Technology,62,37.1,T,A
Two or More Races,M,Construction & Inspections,51,66.617,T,A
Two or More Races,F,Information Technology,52,46.68,R,A
Two or More Races,M,Seattle City Light,51,55.63,R,A
Two or More Races,M,Parks & Recreation,25,19.29,R,A
Two or More Races,F,Commnty Sfty and Comm Ctr Dept,40,45.62,R,A
Two or More Races,F,Finance & Admin Services,37,77.34,R,A
Two or More Races,M,Fire Department,32,38.98,R,A
Two or More Races,F,Police Department,41,40.06,R,A
Two or More Races,M,Police Department,29,35.05,R,A
Two or More Races,M,Police Department,36,33.44,R,A
Two or More Races,F,Education & Early Learning,54,38.57,R,A
Two or More Races,M,Finance & Admin Services,47,59.401,R,A
Two or More Races,F,Seattle Dept of Human Resource,34,46.68,R,A
Two or More Races,M,Fire Department,57,57.02,R,A
Two or More Races,M,Fire Department,61,54.19,R,A
Two or More Races,F,Fire Department,40,29.03,R,A
Two or More Races,M,Fire Department,39,60.33,R,A
